;Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Median Age;Coastal Locations
1535;Parque das Nações - Expo Sul, Lisboa;620.000;2.0;2.0;137.0;137.0;2.0;7.0;Energy Performance Certificate;False;True;True;True;44,8;False
1536;Azurara, Porto;262.000;2.0;2.0;93.0;93.0;2.0;2.0;Not available;True;False;True;True;47;True
1537;Falagueira, Amadora;249.900;3.0;1.0;91.0;91.0;;;Not available;True;False;True;True;44,1;False
1538;Azurara, Porto;260.000;2.0;2.0;94.0;94.0;2.0;2.0;Not available;True;False;True;True;47;True
1539;Azurara, Porto;350.000;2.0;1.0;88.0;88.0;2.0;2.0;Not available;True;False;True;True;47;True
1540;Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;375.000;;;;;1.0;5.0;Not available;False;False;True;True;44,9;False
1541;Azurara, Porto;410.000;2.0;2.0;123.0;123.0;2.0;2.0;Not available;True;False;True;True;47;True
1542;Azurara, Porto;300.000;2.0;1.0;70.0;70.0;2.0;2.0;Not available;True;False;True;True;47;True
1543;Alto do Seixalinho, Santo André e Verderena, Setúbal;129.000;1.0;1.0;80.0;86.0;;;Not available;True;False;True;True;44,9;False
1544;Azurara, Porto;272.000;2.0;2.0;93.0;93.0;2.0;1.0;Not available;True;False;True;True;47;True
1545;Fânzeres - Regadas, Gondomar;213.500;2.0;2.0;90.0;120.0;1.0;4.0;Energy Performance Certificate;False;False;True;False;47,1;False
1546;Azurara, Porto;360.000;2.0;2.0;116.0;116.0;2.0;1.0;Not available;True;False;True;True;47;True
1547;Tarouca e Dálvares, Viseu;105.000;3.0;1.0;80.0;89.0;;;Not available;True;False;False;False;49,4;False
1548;Azurara, Porto;297.000;2.0;2.0;105.0;105.0;2.0;1.0;Not available;True;False;True;True;47;True
1549;Vila do Conde, Porto;274.900;2.0;2.0;77.0;97.0;1.0;4.0;Energy Performance Certificate;False;False;True;True;47;True
1550;Azurara, Porto;280.000;2.0;2.0;97.0;97.0;2.0;1.0;Not available;True;False;True;True;47;True
1551;Hospital S. João, Porto;215.000;1.0;1.0;46.0;46.0;1.0;0.0;Energy Performance Certificate;False;False;True;True;47;True
1552;Azurara, Porto;325.000;2.0;2.0;101.0;101.0;2.0;;Not available;True;False;True;True;47;True
1553;Azurara, Porto;319.000;2.0;2.0;105.0;105.0;2.0;;Not available;True;False;True;True;47;True
1554;Colmeias e Memória, Leiria;195.000;3.0;2.0;150.0;162.0;2.0;2.0;Not available;True;False;False;False;46,4;False
1555;Mateus, Vila Real;185.000;3.0;2.0;108.0;134.0;1.0;;Not available;True;False;False;False;48,5;False
1556;Quarteira, Loulé;329.000;2.0;1.0;60.0;80.0;;;Not available;True;False;False;False;46,9;False
1557;São Gonçalo de Lagos, Faro;380.000;3.0;3.0;150.0;170.0;;;Not available;True;False;False;False;45,7;True
1558;Albufeira e Olhos de Água, Faro;1.280.000;2.0;3.0;177.0;263.0;1.0;0.0;Energy Performance Certificate;False;False;False;False;44,4;True
1559;Albufeira e Olhos de Água, Faro;905.000;3.0;2.0;135.0;174.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;44,4;True
1560;A5 - Eirado, Vila Nova de Gaia;185.000;2.0;2.0;100.0;102.0;1.0;1.0;Not available;True;False;True;True;46,8;False
1561;Caniço, Ilha da Madeira;209.000;2.0;2.0;96.0;121.0;1.0;1.0;Not available;True;False;False;False;;False
1562;Albufeira e Olhos de Água, Faro;400.000;1.0;1.0;70.0;95.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;44,4;True
1563;Tomar (São João Baptista) e Santa Maria dos Olivais, Santarém;195.000;1.0;2.0;115.0;127.0;;;Not available;True;False;False;False;52,8;False
1564;Ermesinde, Valongo;109.000;1.0;1.0;52.0;57.0;;;Not available;True;False;False;False;45,1;False
1565;Albufeira e Olhos de Água, Faro;450.000;1.0;1.0;59.0;84.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;44,4;True
1566;Santa Marta do Pinhal, Seixal;223.000;3.0;2.0;106.0;106.0;;;Not available;True;False;False;False;44,9;False
1567;Santo António, Ilha da Madeira;300.000;1.0;1.0;57.0;57.0;1.0;4.0;Not available;True;False;False;False;;False
1568;Santo António, Ilha da Madeira;475.000;2.0;2.0;100.0;119.0;1.0;4.0;Not available;True;False;False;False;;False
1569;Santo António, Ilha da Madeira;500.000;2.0;2.0;100.0;125.0;1.0;4.0;Not available;True;False;False;False;;False
1570;Santo António, Ilha da Madeira;290.000;1.0;1.0;67.0;67.0;1.0;3.0;Not available;True;False;False;False;;False
1571;Câmara de Lobos, Ilha da Madeira;120.000;1.0;1.0;46.0;46.0;;;Not available;True;False;False;False;42,4;False
1572;Santo António, Ilha da Madeira;450.000;2.0;2.0;100.0;109.0;1.0;3.0;Not available;True;False;False;False;;False
1573;Santo António, Ilha da Madeira;400.000;2.0;2.0;100.0;100.0;1.0;3.0;Not available;True;False;False;False;;False
1574;Santo António, Ilha da Madeira;400.000;2.0;2.0;100.0;100.0;1.0;3.0;Not available;True;False;False;False;;False
1575;Santo António, Ilha da Madeira;450.000;2.0;2.0;100.0;119.0;1.0;3.0;Not available;True;False;False;False;;False
1576;Santo António, Ilha da Madeira;320.000;1.0;1.0;57.0;57.0;1.0;3.0;Not available;True;False;False;False;;False
1577;Santo António, Ilha da Madeira;280.000;1.0;1.0;67.0;67.0;1.0;2.0;Not available;True;False;False;False;;False
1578;Santo António, Ilha da Madeira;425.000;2.0;2.0;100.0;109.0;1.0;2.0;Not available;True;False;False;False;;False
1579;Santo António, Ilha da Madeira;390.000;2.0;2.0;100.0;100.0;1.0;2.0;Not available;True;False;False;False;;False
1580;Santo António, Ilha da Madeira;390.000;2.0;2.0;100.0;100.0;1.0;2.0;Not available;True;False;False;False;;False
1581;Santo António, Ilha da Madeira;425.000;2.0;2.0;100.0;109.0;1.0;2.0;Not available;True;False;False;False;;False
1582;Santo António, Ilha da Madeira;400.000;2.0;2.0;100.0;109.0;1.0;1.0;Not available;True;False;False;False;;False
1583;Santo António, Ilha da Madeira;400.000;2.0;2.0;100.0;109.0;1.0;1.0;Not available;True;False;False;False;;False
1584;Santo António, Ilha da Madeira;380.000;2.0;2.0;100.0;104.0;1.0;0.0;Not available;True;False;False;False;;False
1585;Santo António, Ilha da Madeira;390.000;2.0;2.0;100.0;141.0;1.0;0.0;Not available;True;False;False;False;;False
1586;Santo António, Ilha da Madeira;320.000;1.0;1.0;100.0;105.0;1.0;0.0;Not available;True;False;False;False;;False
1587;Tomar (São João Baptista) e Santa Maria dos Olivais, Santarém;305.000;3.0;2.0;131.0;131.0;;;Not available;True;False;False;False;52,8;False
1588;Nogueira da Regedoura, Aveiro;120.000;2.0;1.0;90.0;90.0;;;Not available;True;False;False;False;45,5;True
1589;Santo António Cavaleiros, Loures;220.000;2.0;1.0;53.0;65.0;;;Not available;True;False;False;False;44,6;False
1590;Faro (Sé e São Pedro), Faro;160.000;1.0;1.0;45.0;45.0;;;Not available;True;False;False;False;45,7;True
1591;Monte Estoril, Cascais;1.070.000;2.0;2.0;120.0;130.0;;;Not available;True;False;False;False;46,9;True
1592;Vila Nova de Famalicão e Calendário, Braga;175.000;3.0;2.0;112.0;112.0;1.0;1.0;Not available;True;False;False;True;44,4;False
1593;Portimão, Faro;455.000;2.0;2.0;95.0;140.0;2.0;4.0;Energy Performance Certificate;False;False;False;False;45,7;True
1594;Portimão, Faro;257.500;2.0;2.0;73.0;86.0;;;Not available;True;False;False;False;45,7;True
1595;São Mamede de Infesta e Senhora da Hora, Porto;290.000;3.0;2.0;120.0;142.0;1.0;5.0;Energy Performance Certificate;False;False;True;True;47;True
1596;ERA Palmela Azeitao, Almada;229.000;2.0;1.0;66.0;61.0;;;Not available;True;False;True;False;46,3;False
1597;Ramada e Caneças, Lisboa;279.000;3.0;2.0;95.0;100.0;0.0;1.0;Not available;True;True;True;True;44,8;False
1598;Marisol, Almada;245.000;2.0;1.0;66.0;75.0;;;Not available;True;False;True;False;46,3;False
1599;Oliveira do Douro, Porto;Under Consultation;4.0;2.0;120.0;144.0;1.0;2.0;Not available;True;False;True;True;47;True
1600;Pinheiro Manso, Porto;595.000;2.0;2.0;114.0;195.0;1.0;4.0;Energy Performance Certificate;False;False;True;True;47;True
1601;Madalena, Porto;370.000;3.0;3.0;111.0;145.0;1.0;0.0;Not available;True;False;True;True;47;True
1602;Tavira (Santa Maria e Santiago), Faro;360.000;1.0;1.0;87.0;101.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;45,7;True
1603;Ponta Delgada (São Sebastião), Ilha de São Miguel;Under Consultation;1.0;1.0;71.0;71.0;1.0;3.0;Not available;False;False;False;False;42,2;False
1604;Tavira (Santa Maria e Santiago), Faro;340.000;1.0;1.0;76.0;110.0;1.0;0.0;Energy Performance Certificate;False;False;False;False;45,7;True
1605;Rabo de Peixe, Ilha de São Miguel;Under Consultation;3.0;2.0;100.0;100.0;;;Not available;True;False;False;False;;False
1606;Vila Real de Santo António, Faro;225.000;1.0;1.0;71.0;95.0;1.0;;Not available;True;False;False;False;48,5;True
1607;Vila Nova de Cacela, Faro;149.000;2.0;1.0;75.0;84.0;;;Not available;True;False;False;False;45,7;True
1608;Paredes, Porto;235.000;2.0;3.0;118.0;118.0;1.0;1.0;Energy Performance Certificate;False;False;True;True;44,3;True
1609;Peniche, Peniche;260.000;2.0;1.0;83.0;129.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;47,9;True
1610;Marvila, Lisboa;243.000;3.0;2.0;90.0;90.0;;;Not available;True;True;True;True;44,8;False
1611;Real, Dume e Semelhe, Braga;142.000;2.0;1.0;78.0;78.0;1.0;2.0;Energy Performance Certificate;False;False;False;True;44,4;False
1612;Centro de Carnaxide, Oeiras;Under Consultation;3.0;2.0;89.0;89.0;;;Not available;True;False;False;False;46,5;False
1613;Montijo e Afonsoeiro, Setúbal;145.000;2.0;1.0;56.0;67.0;;;Not available;True;False;True;True;42,6;False
1614;Atouguia da Baleia, Leiria;190.000;3.0;2.0;115.0;115.0;2.0;;Not available;True;False;False;False;46,4;False
1615;Vila Real (Nossa Senhora da Conceição, São Pedro e São Dinis), Vila Real;183.000;1.0;1.0;55.0;65.0;1.0;2.0;Not available;False;False;False;False;48,5;False
1616;Aguada de Baixo, Águeda;155.000;2.0;2.0;95.0;95.0;;;Not available;True;False;False;False;49,1;False
1617;Paredes, Porto;151.000;2.0;1.0;87.0;34.0;2.0;2.0;Not available;True;False;True;True;44,3;True
1618;Vila Real (Nossa Senhora da Conceição, São Pedro e São Dinis), Vila Real;178.000;1.0;1.0;55.0;62.0;1.0;2.0;Not available;False;False;False;False;48,5;False
1619;Castêlo da Maia, Porto;199.900;2.0;2.0;82.0;94.0;1.0;3.0;Not available;True;False;True;True;45,5;True
1620;Ponte de Lima, Ponte de Lima;267.000;2.0;2.0;105.0;105.0;1.0;2.0;Not available;True;False;False;False;48,2;False
1621;Lordelo, Porto;155.000;2.0;2.0;95.0;105.0;1.0;5.0;Energy Performance Certificate;False;False;True;True;47;True
1622;Lordelo, Porto;155.000;2.0;2.0;76.0;84.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;47;True
1623;Laranjeiro e Feijó, Setúbal;319.000;4.0;2.0;101.0;120.0;;;Not available;True;False;True;True;46,6;False
1624;Ermesinde, Valongo;245.000;3.0;3.0;119.0;142.0;1.0;4.0;Energy Performance Certificate;False;False;False;False;45,1;False
1625;Monte Abraão, Sintra;285.000;4.0;2.0;92.0;101.0;;;Not available;True;False;False;False;43,7;False
1626;Forte da Casa, Vila Franca de Xira;149.500;1.0;1.0;72.0;75.0;;;Not available;True;False;False;False;44,1;False
1627;Ermesinde, Porto;275.000;2.0;3.0;110.0;130.0;1.0;8.0;Not available;True;False;True;True;47;True
1628;Arca d´ Água, Porto;Under Consultation;1.0;1.0;;;;;Not available;True;False;True;True;47;True
1629;Benfica, Lisboa;360.000;3.0;2.0;91.0;109.0;;;Not available;True;True;True;True;44,8;False
1630;Baguim do Monte - Vale Ferreiros, Gondomar;190.000;2.0;2.0;92.0;112.0;;;Not available;True;False;True;False;47,1;False
1631;Nazaré, Leiria;295.000;2.0;2.0;79.0;79.0;;;Not available;True;False;False;False;48,6;True
1632;Campolide, Lisboa;249.000;1.0;1.0;44.0;44.0;;;Not available;True;True;True;True;44,8;False
1633;Solum, Coimbra;199.000;2.0;1.0;55.0;60.0;0.0;3.0;Energy Performance Certificate;False;False;False;True;48,3;False
1634;Garajau, Santa Cruz;210.000;1.0;1.0;74.0;97.0;1.0;5.0;Not available;True;False;False;False;43,7;False
1635;Arcozelo, Braga;162.000;2.0;2.0;105.0;105.0;;;Not available;True;False;False;True;44,4;False
1636;Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa;298.000;2.0;1.0;76.0;76.0;;;Not available;True;True;True;True;44,8;False
1637;Pedroso e Seixezelo, Porto;267.000;3.0;2.0;114.0;190.0;1.0;5.0;Energy Performance Certificate;False;False;True;True;47;True
1638;Santa Marinha e São Pedro da Afurada, Porto;379.920;;2.0;;;;;Not available;True;False;True;True;47;True
1639;Marco, Marco de Canaveses;135.000;2.0;1.0;69.0;9.0;;;Not available;True;False;False;False;45,9;False
1640;Lapa, Lisboa, Lisboa;Under Consultation;4.0;2.0;110.0;110.0;;;Not available;True;True;True;True;44,8;False
1641;Parque das Nações - Expo Sul, Lisboa;850.000;2.0;2.0;104.0;104.0;1.0;4.0;Energy Performance Certificate;False;True;True;True;44,8;False
1642;Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego, Guarda;125.000;3.0;2.0;86.0;109.0;;;Not available;True;False;False;False;49,6;False
1643;Matosinhos, Matosinhos;160.000;3.0;2.0;176.0;222.0;0.0;0.0;Not available;True;False;True;False;47,5;False
1644;Águas Livres, Lisboa;227.900;3.0;2.0;72.0;82.0;;;Not available;True;True;True;True;44,8;False
1645;São Gonçalo de Lagos, Faro;220.000;2.0;2.0;91.0;100.0;;;Not available;True;False;False;False;45,7;True
1646;Parque das Nações - Expo Sul, Lisboa;Under Consultation;2.0;2.0;125.0;125.0;1.0;1.0;Energy Performance Certificate;False;True;True;True;44,8;False
1647;Albufeira e Olhos de Água, Faro;385.000;2.0;2.0;108.0;149.0;2.0;3.0;Not available;True;False;False;False;44,4;True
1648;Marvila, Lisboa;270.000;2.0;1.0;68.0;68.0;;;Not available;True;True;True;True;44,8;False
1649;Barreiro / Fórum Barreiro, Barreiro;197.000;3.0;1.0;104.0;110.0;;;Not available;True;False;False;False;47;False
1650;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;387.000;2.0;2.0;83.0;105.0;0.0;2.0;Not available;True;True;True;True;44,8;False
1651;Santa Marinha e São Pedro da Afurada, Porto;239.000;3.0;2.0;108.0;135.0;1.0;1.0;Energy Performance Certificate;False;False;True;True;47;True
1652;Fânzeres e São Pedro da Cova, Porto;167.000;2.0;;;;;;Not available;True;False;True;True;47;True
1653;Centro, Guarda;Under Consultation;3.0;2.0;74.0;83.0;;;Not available;True;False;False;False;49,6;False
1654;Falagueira, Amadora;180.000;2.0;1.0;75.0;82.0;;;Not available;True;False;True;True;44,1;False
1655;Moita, Setúbal;142.000;2.0;1.0;80.0;85.0;;;Not available;True;False;True;True;45;False
1656;Armação de Pêra, Silves;215.000;0.0;1.0;45.0;60.0;;;Not available;True;False;False;False;47,1;True
1657;Nazaré, Leiria;240.000;1.0;1.0;66.0;66.0;;;Not available;True;False;False;False;48,6;True
1658;Laranjeiras Metro, Lisboa;599.000;3.0;2.0;140.0;140.0;2.0;3.0;Energy Performance Certificate;False;True;True;True;44,8;False
1659;Nazaré, Leiria;220.000;1.0;1.0;66.0;66.0;;;Not available;True;False;False;False;48,6;True
1660;Fonte Nova, Lisboa;215.000;1.0;1.0;27.0;29.0;;;Not available;True;True;True;True;44,8;False
1661;Vilar de Andorinho, Porto;150.000;2.0;1.0;92.0;101.0;;;Not available;True;False;True;True;47;True
1662;S. Dinis, Porto;125.000;0.0;1.0;35.0;35.0;0.0;4.0;Energy Performance Certificate;False;False;True;True;47;True
1663;Santarém (Marvila), Santa Iria da Ribeira de Santarém, Santarém (São Salvador) e Santarém (São Nicolau), Santarém;103.000;2.0;1.0;89.0;89.0;;;Not available;True;False;False;False;48,3;False
1664;Feijó, Almada;269.000;3.0;2.0;100.0;110.0;;;Not available;True;False;True;False;46,3;False
1665;Portimão, Faro;275.000;4.0;2.0;95.0;124.0;0.0;0.0;Not available;True;False;False;False;45,7;True
1666;Mafamude e Vilar do Paraíso, Porto;175.000;0.0;1.0;40.0;60.0;1.0;3.0;Not available;True;False;True;True;47;True
1667;Santa Maria Maior, Viana do Castelo;225.000;3.0;3.0;119.0;119.0;1.0;0.0;Energy Performance Certificate;False;False;False;False;48,8;True
1668;Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail, Aveiro;125.000;3.0;2.0;108.0;108.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;48,5;True
1669;Oliveira do Douro, Porto;155.000;2.0;1.0;66.0;85.0;0.0;2.0;Energy Performance Certificate;False;False;True;True;47;True
1670;Arca d´ Água, Porto;170.000;1.0;1.0;37.0;57.0;;;Not available;True;False;True;True;47;True
1671;Monte Gordo, Vila Real de Santo António;165.000;1.0;1.0;36.0;40.0;1.0;;Not available;True;False;False;False;48,5;False
1672;Praça de Touros, Santarém;175.000;3.0;2.0;98.0;98.0;;;Not available;True;False;False;False;48,3;False
1673;Quarteira, Loulé;275.000;2.0;1.0;73.0;90.0;1.0;1.0;Not available;True;False;False;False;46,9;False
1674;Portimão, Faro;299.000;3.0;3.0;79.0;89.0;;;Not available;True;False;False;False;45,7;True
1675;Apúlia e Fão, Braga;310.000;2.0;2.0;90.0;100.0;2.0;1.0;Energy Performance Certificate;False;False;False;True;44,4;False
1676;Monte Abraão, Sintra;229.500;2.0;1.0;64.0;70.0;;;Not available;True;False;False;False;43,7;False
1677;Loures, Loures;190.000;2.0;1.0;84.0;85.0;;;Not available;True;False;False;False;44,6;False
1678;Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail, Aveiro;Under Consultation;3.0;2.0;116.0;129.0;1.0;3.0;Energy Performance Certificate;False;False;False;False;48,5;True
1679;Carcavelos, Cascais;420.000;2.0;2.0;78.0;88.0;;;Not available;True;False;False;False;46,9;True
1680;Mina de Água, Lisboa;132.500;2.0;1.0;86.0;86.0;;;Not available;True;True;True;True;44,8;False
1681;Eiras, Coimbra;175.000;3.0;1.0;86.0;111.0;1.0;1.0;Not available;True;False;False;True;48,3;False
1682;Olivais Sul, Lisboa;245.000;3.0;;;;;;Not available;True;True;True;True;44,8;False
1683;Mina de Água, Lisboa;75.500;1.0;1.0;44.0;44.0;;;Not available;True;True;True;True;44,8;False
1684;Ericeira Periferia, Mafra;320.000;3.0;1.0;74.0;82.0;0.0;1.0;Not available;True;False;False;False;43,8;True
1685;Repeses, Viseu;245.000;2.0;2.0;107.0;163.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;46,9;False
1686;Repeses e São Salvador, Viseu;252.500;2.0;2.0;126.0;179.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;46,9;False
1687;Repeses e São Salvador, Viseu;260.000;2.0;2.0;136.0;202.0;1.0;3.0;Energy Performance Certificate;False;False;False;False;46,9;False
1688;Repeses e São Salvador, Viseu;257.500;2.0;2.0;123.0;182.0;1.0;3.0;Energy Performance Certificate;False;False;False;False;46,9;False
1689;Repeses e São Salvador, Viseu;262.500;2.0;2.0;121.0;180.0;1.0;4.0;Energy Performance Certificate;False;False;False;False;46,9;False
1690;Arca d´ Água, Porto;Under Consultation;0.0;1.0;;;;;Not available;True;False;True;True;47;True
1691;Arca d´ Água, Porto;Under Consultation;1.0;1.0;;;;;Not available;True;False;True;True;47;True
