;Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Median Age;Coastal Locations
1749;Marco, Porto;130.000;1.0;1.0;54.0;54.0;;;Not available;True;False;True;True;47;True
1750;Vale da Cabrita, Leiria;Under Consultation;2.0;1.0;100.0;139.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;46,4;False
1751;Alto do Seixalinho / Largo da Santa, Barreiro;235.000;3.0;2.0;139.0;146.0;;;Not available;True;False;False;False;47;False
1752;São Domingos de Benfica, Lisboa;350.000;3.0;2.0;100.0;100.0;;;Not available;True;True;True;True;44,8;False
1753;Olivais, Coimbra;260.000;3.0;2.0;93.0;119.0;1.0;2.0;Energy Performance Certificate;False;False;False;True;48,3;False
1754;Alta de Lisboa, Lisboa;420.000;1.0;1.0;;;;;Not available;True;True;True;True;44,8;False
1755;Marco, Porto;93.000;0.0;1.0;31.0;31.0;;;Not available;True;False;True;True;47;True
1756;Marco, Porto;99.000;0.0;1.0;33.0;33.0;;;Not available;True;False;True;True;47;True
1757;Marco, Porto;106.000;0.0;1.0;43.0;43.0;;;Not available;True;False;True;True;47;True
1758;Marco, Porto;95.000;0.0;1.0;36.0;36.0;;;Not available;True;False;True;True;47;True
1759;Boavista, Porto;280.000;1.0;1.0;;;;;Not available;True;False;True;True;47;True
1760;Alhos Vedros, Setúbal;119.000;3.0;2.0;84.0;92.0;;;Not available;True;False;True;True;46,6;False
1761;Rio Tinto - Cidade Jovem, Gondomar;240.000;3.0;2.0;108.0;122.0;1.0;0.0;Energy Performance Certificate;False;False;True;False;47,1;False
1762;Póvoa de Santa Iria e Forte da Casa, Lisboa;318.000;3.0;2.0;125.0;125.0;1.0;3.0;Energy Performance Certificate;False;True;True;True;44,8;False
1763;Ílhavo (São Salvador), Aveiro;165.000;3.0;2.0;75.0;90.0;;;Not available;True;False;False;False;45,5;True
1764;Misericórdia, Lisboa;450.000;4.0;2.0;102.0;120.0;;;Not available;True;True;True;True;44,8;False
1765;Espinho, Aveiro;205.000;1.0;1.0;43.0;43.0;;;Not available;True;False;False;False;51,1;True
1766;Leiria, Pousos, Barreira e Cortes, Leiria;197.500;3.0;2.0;82.0;91.0;1.0;1.0;Not available;True;False;False;False;46,4;False
1767;Abraveses, Viseu;165.000;2.0;2.0;90.0;112.0;2.0;2.0;Not available;True;False;False;False;46,9;False
1768;Bairro Augusto de Castro, Oeiras;215.000;0.0;1.0;38.0;40.0;;;Not available;True;False;False;False;46,5;False
