Designação;Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Idade mediana da população residente;1º quartil da idade da população residente;3º quartil da idade da população residente
   Lezíria do Tejo;0,97;-0,65;1,62;47,8;26,7;65,5
Almeirim;0,97;-0,55;1,52;47,6;26,4;65,4
Alpiarça;1,32;-0,77;2,09;49,3;27;67,8
Azambuja;1,18;-0,62;1,8;46,1;26,5;63,7
Benavente;2,34;-0,05;2,39;44,2;23,6;60,7
Cartaxo;0,99;-0,61;1,6;47,8;27,1;65,1
Chamusca;-0,12;-1,25;1,14;52,6;31,9;69,2
Coruche;-0,59;-1,49;0,9;54;31,5;70,2
Golegã;-0,45;-1,22;0,78;49,7;28,4;67,7
Rio Maior;0,87;-0,53;1,4;46,6;26,1;64,1
Salvaterra de Magos;2,19;-0,76;2,95;48,4;27,1;66,1
Santarém;0,46;-0,63;1,09;48,3;26,8;65,9
   Alto Alentejo;-0,87;-1,2;0,33;51,2;29,1;68,3
Alter do Chão;1,05;-1,56;2,61;52,6;29,3;70,7
Arronches;-0,4;-1,4;1,01;52;30,9;69,1
Avis;-1,1;-1,31;0,21;52,9;31;70
Campo Maior;-0,96;-0,76;-0,2;46,2;24;64,1
Castelo de Vide;-0,25;-1,81;1,56;54,7;34,4;71,3
Crato;0,34;-1,6;1,94;56,9;36,4;73,9
Elvas;-1,15;-1,05;-0,09;48;25,3;64,7
Fronteira;-0,41;-1,36;0,95;53;31,8;69,9
Gavião;-0,59;-2,17;1,57;59,8;39,8;76,1
Marvão;-1,05;-2,03;0,98;54,7;33,7;70,8
Monforte;-1,04;-1,81;0,77;49,1;25,2;67,7
Nisa;-1,85;-2,3;0,45;58,8;38,4;74,4
Ponte de Sor;-0,57;-0,83;0,27;51,8;30;68
Portalegre;-1,13;-0,77;-0,36;50;28,4;67,1
Sousel;-0,95;-1,59;0,64;51,4;29,9;70
   Alentejo Central;-0,43;-0,9;0,47;49,2;28,1;66,5
Alandroal;-0,54;-1,67;1,14;53,2;33,1;69,2
Arraiolos;0,34;-1,43;1,77;50,2;29,6;67,3
Borba;-0,93;-1,06;0,12;51,8;29,9;67,9
Estremoz;-1,03;-1,11;0,08;51,3;29,9;68
Évora;-0,48;-0,59;0,11;46,9;26,3;64,2
Montemor-o-Novo;-0,81;-1,17;0,36;50,4;30;68,7
Mora;-0,26;-1,79;1,53;57;35,3;72,5
Mourão;0,46;-0,92;1,38;48,9;25,1;65,9
Portel;-0,54;-0,85;0,31;49,7;28,3;67,4
Redondo;-0,38;-0,99;0,61;49,8;28,9;66,8
Reguengos de Monsaraz;-0,7;-1,08;0,38;49,1;27,5;66
Vendas Novas;0,54;-0,59;1,13;49,2;27,7;68,6
Viana do Alentejo;0,99;-0,95;1,94;48,1;26,8;65,3
Vila Viçosa;-0,9;-0,78;-0,12;51;30;66,3
  Algarve;0,43;-0,38;0,8;47;26,6;64,4
Albufeira;1,03;0,04;0,99;44,4;25,6;60,6
Alcoutim;-2,21;-3,14;0,93;62,6;41,4;76,1
Aljezur;0,08;-0,67;0,75;48,5;29;66,1
Castro Marim;1,42;-0,82;2,23;52,6;29,7;69,5
Faro;0,49;-0,23;0,72;45,7;25,9;63
Lagoa;0,76;-0,46;1,21;47,4;25,8;64,2
Lagos;-0,21;-0,4;0,19;48,7;27,5;65,5
Loulé;0,15;-0,39;0,55;46,9;26,5;64,2
Monchique;-1,22;-1,45;0,22;55,7;34,8;70,5
Olhão;-0,08;-0,45;0,36;46,2;25,2;63,8
Portimão;0,99;-0,06;1,06;45,5;25,2;63,1
São Brás de Alportel;0,59;-0,54;1,13;47,9;27,4;65,9
Silves;0,89;-0,54;1,43;47,1;27,1;64,9
Tavira;-0,07;-0,71;0,64;51,2;30,6;68,1
Vila do Bispo;-0,1;-0,62;0,52;49,4;29,6;66,8
Vila Real de Santo António;0,39;-0,59;0,98;48,2;26,5;66
 R. A. Açores;0,48;-0,27;0,75;42,7;23,9;59,1
  Santa Maria;0,13;-0,57;0,69;43,1;23,7;60
Vila do Porto;0,13;-0,57;0,69;43,1;23,7;60
  São Miguel;0,75;-0,06;0,81;41,1;22,7;57,1
Lagoa (R.A.A.);1,72;0,05;1,67;39,9;21,5;55,4
Nordeste;-0,09;-0,97;0,88;46;25;61,9
Ponta Delgada;0,69;-0,08;0,77;42,2;24,1;58,1
Povoação;0,02;-0,9;0,92;44,2;24,5;60
Ribeira Grande;0,87;0,26;0,61;37,8;19,7;53,5
Vila Franca do Campo;0,14;-0,21;0,35;42;23,5;58
  Terceira;0,04;-0,48;0,52;44,5;25,7;61,3
Angra do Heroísmo;-0,07;-0,52;0,45;44,6;25,7;61,3
Vila da Praia da Vitória;0,24;-0,4;0,64;44,2;25,7;61,1
  Graciosa;0,07;-0,63;0,71;44,9;24,8;62,6
Santa Cruz da Graciosa;0,07;-0,63;0,71;44,9;24,8;62,6
  São Jorge;-0,04;-0,8;0,77;46,3;27,2;63
Calheta (R.A.A.);-0,09;-0,94;0,85;46,7;26,5;64,3
Velas;0;-0,71;0,71;46,1;27,5;62,2
  Pico;0,6;-0,68;1,28;45,8;26,9;62,5
Lajes do Pico;-0,46;-0,93;0,48;47,9;27,7;64,8
Madalena;0,62;-0,73;1,35;44,3;25,5;61
São Roque do Pico;1,96;-0,27;2,23;46;28,6;62,6
  Faial;-0,04;-0,41;0,37;45,6;26,2;61,7
Horta;-0,04;-0,41;0,37;45,6;26,2;61,7
  Flores;0,34;-0,77;1,12;45,9;27,2;61,4
Lajes das Flores;1,26;-0,63;1,89;47,2;27,6;62,4
Santa Cruz das Flores;-0,29;-0,87;0,58;44,9;26,7;60,6
  Corvo;4,5;0,47;4,02;44,9;26,9;59,3
Corvo;4,5;0,47;4,02;44,9;26,9;59,3
 R. A. Madeira;0,22;-0,53;0,76;46,7;26,2;62
Calheta (R.A.M.);-0,05;-1,15;1,09;49,6;28,4;65,5
Câmara de Lobos;0,21;-0,14;0,35;42,4;22,8;58,3
Funchal;0,03;-0,58;0,61;48;27,7;63,3
Machico;-0,56;-0,72;0,16;48,3;27,4;62,8
Ponta do Sol;0,52;-0,77;1,28;47,3;25,6;62,5
Porto Moniz;0,24;-1,32;1,56;52,3;31,3;68,4
Ribeira Brava;0,2;-0,83;1,04;46,5;25,2;62,2
Santa Cruz;1,05;-0,12;1,17;43,7;23,9;57,8
Santana;-1,16;-1,22;0,06;52,6;31,2;67,6
São Vicente;-0,08;-1,09;1,01;51,2;29,9;66,8
Porto Santo;2,6;-0,44;3,03;47,2;27,6;61,5
Name;Crude rate of increase;Crude rate of natural increase;Crude migratory rate;Median age of the resident population;1st quartile of resident population age;3rd quartile of resident population age
;%;;;Years;;
;2022;;;;;
