Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Coastal Locations;Median Age;Distance To Ocean
Oliveira do Douro, Porto;165000;1.0;1.0;66.0;71.0;1.0;3.0;Not available;True;False;True;True;True;47.0;7
Mina de Água, Lisboa;235000;2.0;1.0;66.0;77.0;0.0;;Not available;True;True;True;True;False;44.8;10
Falagueira-Venda Nova, Lisboa;195000;1.0;1.0;46.0;63.0;0.0;;Not available;True;True;True;True;False;44.8;9
Mina, Amadora;169000;0.0;1.0;35.0;43.0;0.0;;Not available;True;False;True;True;False;44.1;9
Ericeira, Lisboa;590000;3.0;2.0;124.0;150.0;1.0;2.0;Energy Performance Certificate;False;True;True;True;True;44.8;15
Sines, Setúbal;250000;3.0;2.0;110.0;110.0;0.0;;Not available;True;False;True;True;False;46.6;26
Calhariz de Benfica - Laranjeiras, Lisboa;435000;3.0;2.0;85.0;87.0;0.0;;Not available;True;True;True;True;False;44.8;10
Vilamoura, Loulé;500000;2.0;1.0;92.0;92.0;1.0;1.0;Not available;True;False;False;False;False;46.9;37
Caparica e Trafaria, Setúbal;225000;3.0;2.0;85.0;90.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;False;46.6;2
Gaia Shopping, Vila Nova de Gaia;185000;2.0;2.0;67.0;80.0;1.0;2.0;Not available;True;False;True;True;False;46.8;5
Valbom Zona 3, Gondomar;155000;2.0;1.0;80.0;80.0;1.0;1.0;Not available;True;False;True;False;False;47.1;9
Costa de Caparica, Almada;419900;3.0;2.0;118.0;119.0;1.0;1.0;Energy Performance Certificate;False;False;True;False;False;46.3;0
Rotunda do Forcado, Santarém;380000;3.0;2.0;134.0;134.0;2.0;;Not available;True;False;False;False;False;48.3;56
Vila Nova de Famalicão e Calendário, Braga;195000;2.0;2.0;105.0;105.0;1.0;0.0;Not available;True;False;False;True;False;44.4;23
